Date,Value (12m Rev) (LO),Momentum (12-1) (LO),Quality (Sharpe) (LO),Low Volatility (LO),Composite (LO),CTA,LO+CTA,AvgLO+CTA,SPY_BH
2023-06-28,0.9627481930071976,1.5714907356209422,1.3226819491439574,1.5409244426453093,1.3659079702358625,0.9762708287556298,1.2200353486654558,1.2155795278694297,2.8368547231099517
2023-06-29,0.9594450983736651,1.5728649479230674,1.321155147731785,1.5409508007771044,1.3584851825223412,0.9825484433837073,1.2191953350627436,1.2173746004066706,2.848036060822934
2023-06-30,0.9671596165581161,1.5913909963964803,1.3373713976020065,1.5552326324005414,1.3718777093256906,0.9794177269458052,1.2248530439581091,1.223305500937562,2.88164521154762
2023-07-03,0.9812982544089021,1.59139314771716,1.339629572350385,1.5569607534991479,1.374036008051889,0.9792508145863671,1.2259257439901516,1.2260102198195368,2.8849602640243437
2023-07-05,0.9761571249563685,1.5799680013740076,1.3309888349713357,1.5513607610272044,1.365654236900668,0.9819961461348722,1.2228135287399797,1.223182492393749,2.8806699912781144
2023-07-06,0.954353118937663,1.5618646073966862,1.3161861921659022,1.5342445805886946,1.348088194439503,0.981346995434322,1.2130529587636314,1.2127587116383705,2.858112107930108
2023-07-07,0.9707608113918181,1.5677395914330619,1.320247779739247,1.5308302728403673,1.3510896156808514,0.9728295225103349,1.210462009960554,1.2120470165303618,2.850896379210537
2023-07-10,0.9716745135014744,1.5752453155679935,1.3242870099126218,1.5348975262737914,1.3542477292176278,0.9715783632183234,1.2115369398246856,1.2134281130263913,2.858112107930108
2023-07-11,0.9809943199480083,1.587847426982586,1.333385463722042,1.5441983971298103,1.3634507683817287,0.9711741724003587,1.2162752660564227,1.218660018676638,2.8763141712757956
2023-07-12,1.0052354871974767,1.6058140733534079,1.348279174781934,1.5599825982802866,1.3810457337500086,0.9654933983491611,1.2228469029903803,1.2260925008458148,2.8994568590492253
2023-07-13,1.0245341818768388,1.6229092928539088,1.363585933379442,1.5722842466340854,1.3958681270173243,0.9652507624019699,1.230598671243164,1.2347699430258405,2.9224696813215276
2023-07-14,1.0097225116721749,1.6153381651290604,1.3592518884649636,1.5734935661202094,1.3928106134274243,0.9662504407208359,1.2294911632580559,1.2317665498973058,2.9206497207891693
2023-07-17,1.0041782046048473,1.6205200050201851,1.3646094182152868,1.5710128943585278,1.3917366774518785,0.9700591530403666,1.2308608947993884,1.233606817774118,2.9307902909765566
2023-07-18,0.9848229299250341,1.6333796406602366,1.375243237204822,1.5750200552828066,1.3958398798149783,0.969017978936096,1.23250979590221,1.2333662021259475,2.9525681619770987
2023-07-19,0.991032616184226,1.633811972398606,1.375405990571635,1.5807948638765599,1.3988212584769186,0.9685789966324603,1.2338659692593357,1.2349913974036446,2.9591335390151574
2023-07-20,0.9887567037381136,1.620290951433165,1.3568504997367057,1.5855764741411615,1.3958468907337356,0.9699676549486675,1.2329993999238031,1.2322666588896776,2.9395015213108433
2023-07-21,0.9910360717533206,1.6209618253986473,1.3568570589701752,1.5918457217962405,1.3987058901866092,0.9703945919126139,1.2347317560204936,1.2337739913104606,2.9395015213108433
2023-07-24,1.0122645696865713,1.6230396337319106,1.3599379825762188,1.5950504458072488,1.402578883607047,0.9729690254067294,1.238093412528462,1.2394885997207141,2.9526332995628373
2023-07-25,1.0186649142319268,1.6279600894205162,1.3648949836736335,1.5977169275574143,1.4056476156015376,0.975020992924545,1.240763166288311,1.2430418182446388,2.960693768545261
2023-07-26,1.0315053373706642,1.6272841383418721,1.3631878541599936,1.6003587143666866,1.4091619987482622,0.9728157348055972,1.2415019302440273,1.2441685626662478,2.9611487074695564
2023-07-27,1.0144401024337055,1.620579025197076,1.3573911614120515,1.5874759449932128,1.4003649177711497,0.9706213601090289,1.2357315006623468,1.2371919974686025,2.9415166897652423
2023-07-28,1.056647746091146,1.6354346055763616,1.3721052537833338,1.6020165368510069,1.4154544909298352,0.9745124514447382,1.2457023972744041,1.2512828567038872,2.970315286398489
2023-07-31,1.0634846947134797,1.6380651997297695,1.3742992451629363,1.599206616219107,1.413915300609304,0.9751639296373186,1.2452227472631259,1.2526439859548177,2.9759709904231317
