Date,SPY 1.0x (Baseline),Fixed 1.5x (全仓杠杆),Fixed 2.0x (全仓杠杆),Fixed 3.0x (全仓杠杆),UPRO 3x (真实ETF),SSO 2x (真实ETF),Naive Dip 2x (无风控),Anti-Blowup 2x (完整风控),Anti-Blowup 2.5x (激进风控),Kelly半凯利 2.5x,阶梯加仓法 (最推荐)
2016-03-21,1.1703131417100663,1.2451228270422374,1.3100182377535026,1.402175143661633,1.344215683146101,1.2728431499667496,1.3478060685992606,1.14864333543197,1.14864333543197,1.1732731230949134,1.259622520188175
2016-03-22,1.169684195433201,1.2441191016224356,1.3086101853888903,1.3999144850275758,1.3429258568192004,1.2712372699927847,1.3470817345910622,1.148334685155596,1.148334685155596,1.1726414910290976,1.2589455775254867
2016-03-23,1.161965188269092,1.2318037720284443,1.2913385638085002,1.3721994402797955,1.3164844171177414,1.2525691666540666,1.3381920414580388,1.1445456266660832,1.1445456266660832,1.164898281211095,1.250637514571329
2016-03-24,1.161450335161487,1.2309850753845288,1.2901942099513295,1.3703754239842618,1.3132595929218192,1.2509631258105827,1.337599104304609,1.1442920593137074,1.1442920593137074,1.1643817179273765,1.250083371798925
2016-03-28,1.1621364304405493,1.2320758319454195,1.2917185044126984,1.3728039603077051,1.3164844171177417,1.2519670320442444,1.3383892546906895,1.1446300390602344,1.1446300390602344,1.1650699107299978,1.2508218246400498
2016-03-29,1.172886587907558,1.2491715130433196,1.315616175911081,1.4109006717386856,1.3538892514085188,1.2766572053940208,1.3507698107624264,1.1499241477548139,1.1499241477548139,1.1758648472255433,1.2623923521838376
2016-03-30,1.1780325585444416,1.2573925124044176,1.3271605524611196,1.429471401858328,1.3700120804947742,1.286894298108594,1.3566962335342758,1.1524467598982209,1.1524467598982209,1.1810337540121552,1.267931024075511
2016-03-31,1.1751736745886654,1.25281529687618,1.3207189681727225,1.419064152517793,1.3607684543413234,1.281073073692076,1.353403763333193,1.1510483641035283,1.1510483641035283,1.1781602084311251,1.2648539718875484
2016-04-01,1.183178836434025,1.265616369726982,1.338712170915559,1.4480637083847057,1.386135426338372,1.2975330820122475,1.3626230101576193,1.1549687754630282,1.1549687754630282,1.1862004228529213,1.2734700266670684
2016-04-04,1.179348214605769,1.2594700913165018,1.3300438277948914,1.4339990946190593,1.3734516173665086,1.2893030778521617,1.3582114256315427,1.1530991305429175,1.1530991305429175,1.1823506288628143,1.2693470809790919
