Date,Naive Dip (无风控),Trend-Filtered (仅趋势),Risk-Managed (完整风控),Conservative (保守风控),Aggressive (激进风控),SPY_BH
2022-12-23,2.836292550927248,2.6133329441914848,1.9254541367904752,1.4992720413162821,2.3968837316343845,2.4705540278268456
2022-12-27,2.8238192915837974,2.605525492573752,1.92317628934415,1.4974983750806627,2.394048174358353,2.460811659215781
2022-12-28,2.785215495670566,2.581239435293308,1.9160059323997984,1.491915112676478,2.3851222219913044,2.43022874963513
2022-12-29,2.8452940903387463,2.6206559438119323,1.9263526217902638,1.499971654677092,2.3980022023566736,2.4739739552127906
2022-12-30,2.8369648109580026,2.6154002400068963,1.9248304243260317,1.4987863820414686,2.3961073089553513,2.4674575351164156
2023-01-03,2.8238268108204294,2.607142103630358,1.9223993605213188,1.4968934125214897,2.3930810217160228,2.4570695261651205
2023-01-04,2.847807235588883,2.6232050334643744,1.9268517279511475,1.500360288141979,2.3986235100339237,2.4760384885215436
2023-01-05,2.812053678388914,2.5992532306906115,1.9202541347435904,1.4952230133312912,2.3904105572946315,2.4477784093527646
2023-01-06,2.8829884916988613,2.6469382230973517,1.9334647517517392,1.5055095781215955,2.406855671403901,2.503911019618077
2023-01-09,2.8812678252934965,2.6457732375018232,1.9331359655126117,1.5052535657832726,2.4064463849022433,2.5024917169792884
2023-01-10,2.901473558387961,2.659688931331846,1.9372029698721054,1.508420375011076,2.4115091575746717,2.52004117186179
2023-01-11,2.9381710336719493,2.6849184914647863,1.9445534202563353,1.5141438687789037,2.4242325392674915,2.551914337947237
2023-01-12,2.948868450071312,2.694492486493911,1.9466773637649564,1.5157976963403947,2.4302072770272933,2.5612054547595924
2023-01-13,2.9603082873094317,2.704945497880052,1.9489429452149594,1.5175618115485483,2.4368066975583753,2.5711413925716458
2023-01-17,2.954885643616437,2.699990623515495,1.9478719327921805,1.516727858170645,2.432326342903587,2.5664316183511713
2023-01-18,2.9082341161274194,2.65736336074303,1.9386460731166237,1.5095440602268901,2.3951683642407198,2.5259129757936
2023-01-19,2.887062386922552,2.6426550019915513,1.9344121131211238,1.506247249503636,2.389457739541735,2.5075245162050117
2023-01-20,2.9461368814180187,2.679577337675098,1.9452229095871254,1.514665172619091,2.402811637147669,2.5542369635239757
2023-01-23,2.9813986781593695,2.711528148906778,1.9522250263669214,1.5201174333182104,2.4114609120457997,2.58488480584189
2023-01-24,2.978198350971627,2.7086175092399514,1.9515963524286546,1.519627910747541,2.4093595601017386,2.5821101091259093
2023-01-25,2.979314661761682,2.7096327737036865,1.9518158060522193,1.5197987902693584,2.4099917261397157,2.583077955130856
2023-01-26,3.0120583607324463,2.739412575415201,1.9582511453622973,1.5248097246352459,2.4285323761861473,2.6114668755984947
2023-01-27,3.0189787788620306,2.7457065704780006,1.959600911711979,1.5258607322452014,2.434242318551014,2.6174669063237648
2023-01-30,2.981100522769518,2.7112569819748766,1.9421551763467853,1.5201173718762413,2.4011563613318168,2.584626303903638
2023-01-31,3.0249326726652415,2.7511215291553737,1.9504889710900284,1.5268226149897415,2.411183812463125,2.6226289565186143
2023-02-01,3.05708100588131,2.7803598564862293,1.9567077841509106,1.5316906376038055,2.428832350129071,2.6505016924502813
2023-02-02,3.1015834147635704,2.8208339920865395,1.9652530150138672,1.5383797560378252,2.4535821762215995,2.6890854623384923
2023-02-03,3.0686159811222917,2.7908507077407063,1.9503948006024616,1.533474219825497,2.4353263991771756,2.6605025629995978
2023-02-06,3.049862668618126,2.7737949093623144,1.946584903713722,1.5306627515832942,2.4195894331005783,2.644243364621892
2023-02-07,3.089750284132737,2.810071973900161,1.9542224243475013,1.5366683814051796,2.4534479654873462,2.678826089850923
2023-02-08,3.0559646950912547,2.779344592022494,1.947811755233199,1.53162746466568,2.42264355190994,2.649533846445334
2023-02-09,3.0294721002885456,2.7552500564371103,1.94274599766739,1.527644095432855,2.399581481200705,2.6265646587702642
2023-02-10,3.036541832369308,2.761679849836647,1.9441061052950366,1.5287135921087056,2.4006881430345555,2.632694145299794
2023-02-13,3.0721877031379625,2.794099124283086,1.9509526457494946,1.5340972485990305,2.409142624220051,2.6635992605451606
2023-02-14,3.0707739457268115,2.792813337499808,1.9506833092998777,1.5338854606260088,2.4080774806854475,2.6623735271073614
2023-02-15,3.08074655837422,2.801883248246628,1.9525838147801151,1.5353798896345918,2.413551793368499,2.671019822920019
2023-02-16,3.0383279296333954,2.763304272978623,1.944518309258472,1.5290377214347277,2.390289350687536,2.6342426989077086
2023-02-17,3.0307372525172744,2.7564006894960102,1.943060907920584,1.5278917195635755,2.3882110127016145,2.627661550909204
2023-02-21,2.9699374148689692,2.7011043373375254,1.9313669426013322,1.518696375914122,2.373837990917405,2.57494784385417
2023-02-22,2.9648485851778443,2.6960229279981145,1.9305685894897646,1.518068605007158,2.372856737223659,2.571399894509898
2023-02-23,2.9837742872791053,2.7146667594692824,1.9336494690828574,1.5204912004080897,2.3766434381670205,2.585078375042879
2023-02-24,2.9517209091360668,2.672495188125089,1.9274525703954422,1.5156183782783867,2.3690268464124578,2.557463116873798
