entry_date,exit_date,entry_price,exit_price,position,action,entry_capital,exit_capital,pnl,return_pct,holding_days
2021-05-13,2021-05-14,384.24,390.14,1.2,BUY DIP 1.20x,1483406.0,1510649.0,27243.0,1.84,1
2021-05-14,2021-05-25,390.14,391.7,1.0,HOLD 1.00x,1510649.0,1516646.0,5997.0,0.4,11
2021-05-25,2021-06-21,391.7,395.44,0.95,HOLD 0.95x,1516646.0,1530409.0,13763.0,0.91,27
2021-06-21,2021-06-22,395.44,397.55,1.0,HOLD 1.00x,1530409.0,1538568.0,8159.0,0.53,1
2021-06-22,2021-07-19,397.55,399.3,0.95,HOLD 0.95x,1538568.0,1544993.0,6426.0,0.42,27
2021-07-19,2021-07-22,399.3,409.16,1.0,HOLD 1.00x,1544993.0,1583107.0,38113.0,2.47,3
2021-07-22,2021-08-19,409.16,413.29,0.95,HOLD 0.95x,1583107.0,1598294.0,15187.0,0.96,28
2021-08-19,2021-08-23,413.29,420.24,1.0,HOLD 1.00x,1598294.0,1625159.0,26865.0,1.68,4
2021-08-23,2021-09-13,420.24,419.61,0.95,HOLD 0.95x,1625159.0,1622797.0,-2362.0,-0.15,21
2021-09-13,2021-09-21,419.61,408.74,1.0,HOLD 1.00x,1622797.0,1580692.0,-42105.0,-2.59,8
2021-09-21,2021-09-24,408.74,418.43,1.2,BUY DIP 1.20x,1580692.0,1625621.0,44929.0,2.84,3
2021-09-24,2021-09-29,418.43,409.52,1.0,HOLD 1.00x,1625621.0,1590883.0,-34738.0,-2.14,5
2021-09-29,2021-10-01,409.52,409.32,1.2,BUY DIP 1.20x,1590883.0,1589809.0,-1074.0,-0.07,2
2021-10-01,2021-10-04,409.32,404.04,1.4,BUY DIP 1.40x,1589809.0,1561012.0,-28797.0,-1.81,3
2021-10-04,2021-10-05,404.04,408.24,1.2,BUY DIP 1.20x,1561012.0,1580408.0,19396.0,1.24,1
2021-10-05,2021-10-06,408.24,409.94,1.4,BUY DIP 1.40x,1580408.0,1589508.0,9100.0,0.58,1
2021-10-06,2021-10-08,409.94,412.73,1.2,BUY DIP 1.20x,1589508.0,1602388.0,12880.0,0.81,2
2021-10-08,2021-10-11,412.73,409.74,1.0,HOLD 1.00x,1602388.0,1590692.0,-11696.0,-0.73,3
2021-10-11,2021-10-15,409.74,420.28,1.2,BUY DIP 1.20x,1590692.0,1639743.0,49052.0,3.08,4
2021-10-15,2021-10-20,420.28,426.45,1.0,HOLD 1.00x,1639743.0,1663770.0,24027.0,1.47,5
2021-10-20,2021-11-11,426.45,437.15,0.95,HOLD 0.95x,1663770.0,1703421.0,39651.0,2.38,22
2021-11-11,2021-11-15,437.15,440.6,1.0,HOLD 1.00x,1703421.0,1716839.0,13417.0,0.79,4
2021-11-15,2021-11-29,440.6,437.94,0.95,HOLD 0.95x,1716839.0,1706966.0,-9873.0,-0.58,14
2021-11-29,2021-12-01,437.94,424.64,1.0,HOLD 1.00x,1706966.0,1655062.0,-51904.0,-3.04,2
2021-12-01,2021-12-03,424.64,427.4,1.2,BUY DIP 1.20x,1655062.0,1667783.0,12720.0,0.77,2
2021-12-03,2021-12-06,427.4,432.46,1.0,HOLD 1.00x,1667783.0,1687433.0,19651.0,1.18,3
2021-12-06,2021-12-07,432.46,441.4,1.2,BUY DIP 1.20x,1687433.0,1729215.0,41781.0,2.48,1
2021-12-07,2021-12-08,441.4,442.57,1.0,HOLD 1.00x,1729215.0,1733768.0,4553.0,0.26,1
2021-12-08,2021-12-15,442.57,443.59,0.95,HOLD 0.95x,1733768.0,1737550.0,3783.0,0.22,7
2021-12-15,2021-12-16,443.59,439.68,1.0,HOLD 1.00x,1737550.0,1722202.0,-15348.0,-0.88,1
2021-12-16,2021-12-20,439.68,430.37,0.95,HOLD 0.95x,1722202.0,1687543.0,-34660.0,-2.01,4
2021-12-20,2021-12-21,430.37,438.02,1.0,HOLD 1.00x,1687543.0,1717409.0,29866.0,1.77,1
2021-12-21,2021-12-22,438.02,442.4,1.2,BUY DIP 1.20x,1717409.0,1737911.0,20502.0,1.19,1
2021-12-22,2021-12-23,442.4,445.15,1.0,HOLD 1.00x,1737911.0,1748698.0,10787.0,0.62,1
2021-12-23,2022-01-06,445.15,442.63,0.95,HOLD 0.95x,1748698.0,1739306.0,-9392.0,-0.54,14
2022-01-06,2022-01-19,442.63,427.32,1.0,HOLD 1.00x,1739306.0,1679028.0,-60278.0,-3.47,13
2022-01-19,2022-01-20,427.32,422.59,1.2,BUY DIP 1.20x,1679028.0,1656628.0,-22400.0,-1.33,1
2022-01-20,2022-02-03,422.59,422.45,1.4,BUY DIP 1.40x,1656628.0,1654722.0,-1907.0,-0.12,14
2022-02-03,2022-02-04,422.45,424.43,1.2,BUY DIP 1.20x,1654722.0,1663959.0,9237.0,0.56,1
2022-02-04,2022-02-10,424.43,425.02,1.4,BUY DIP 1.40x,1663959.0,1666790.0,2831.0,0.17,6
2022-02-10,2022-02-11,425.02,416.64,1.2,BUY DIP 1.20x,1666790.0,1627252.0,-39538.0,-2.37,1
2022-02-11,2022-02-23,416.64,399.13,1.4,BUY DIP 1.40x,1627252.0,1531710.0,-95542.0,-5.87,12
2022-02-23,2022-02-28,399.13,413.02,1.6,BUY DIP 1.60x,1531710.0,1617222.0,85511.0,5.58,5
2022-02-28,2022-03-08,413.02,393.74,1.4,BUY DIP 1.40x,1617222.0,1511759.0,-105463.0,-6.52,8
2022-03-08,2022-03-17,393.74,417.22,1.6,BUY DIP 1.60x,1511759.0,1656841.0,145082.0,9.6,9
2022-03-17,2022-03-23,417.22,421.1,1.4,BUY DIP 1.40x,1656841.0,1678190.0,21349.0,1.29,6
2022-03-23,2022-03-24,421.1,427.45,1.2,BUY DIP 1.20x,1678190.0,1708444.0,30255.0,1.8,1
2022-03-24,2022-03-25,427.45,429.54,1.4,BUY DIP 1.40x,1708444.0,1720022.0,11578.0,0.68,1
2022-03-25,2022-03-28,429.54,432.59,1.2,BUY DIP 1.20x,1720022.0,1734600.0,14578.0,0.85,3
2022-03-28,2022-03-30,432.59,435.24,1.0,HOLD 1.00x,1734600.0,1745188.0,10589.0,0.61,2
2022-03-30,2022-04-01,435.24,429.76,0.95,HOLD 0.95x,1745188.0,1724275.0,-20914.0,-1.2,2
2022-04-01,2022-04-07,429.76,425.82,1.0,HOLD 1.00x,1724275.0,1708373.0,-15902.0,-0.92,6
2022-04-07,2022-04-08,425.82,424.68,1.2,BUY DIP 1.20x,1708373.0,1702789.0,-5583.0,-0.33,1
2022-04-08,2022-04-11,424.68,417.42,1.0,HOLD 1.00x,1702789.0,1673584.0,-29205.0,-1.72,3
2022-04-11,2022-04-13,417.42,420.64,1.2,BUY DIP 1.20x,1673584.0,1688942.0,15357.0,0.92,2
2022-04-13,2022-04-14,420.64,415.4,1.4,BUY DIP 1.40x,1688942.0,1659399.0,-29542.0,-1.75,1
2022-04-14,2022-04-18,415.4,415.57,1.2,BUY DIP 1.20x,1659399.0,1660118.0,719.0,0.04,4
2022-04-18,2022-04-20,415.57,421.97,1.4,BUY DIP 1.40x,1660118.0,1695773.0,35654.0,2.15,2
2022-04-20,2022-04-22,421.97,404.25,1.2,BUY DIP 1.20x,1695773.0,1610412.0,-85361.0,-5.03,2
2022-04-22,2022-05-02,404.25,393.28,1.4,BUY DIP 1.40x,1610412.0,1548168.0,-62244.0,-3.87,10
2022-05-02,2022-05-04,393.28,407.12,1.6,BUY DIP 1.60x,1548168.0,1635412.0,87244.0,5.64,2
2022-05-04,2022-05-06,407.12,390.3,1.4,BUY DIP 1.40x,1635412.0,1540956.0,-94457.0,-5.78,2
2022-05-06,2022-06-03,390.3,389.54,1.6,BUY DIP 1.60x,1540956.0,1531453.0,-9503.0,-0.62,28
2022-06-03,2022-06-06,389.54,390.73,1.4,BUY DIP 1.40x,1531453.0,1537888.0,6435.0,0.42,3
2022-06-06,2022-06-08,390.73,390.19,1.6,BUY DIP 1.60x,1537888.0,1534236.0,-3652.0,-0.24,2
2022-06-08,2022-06-09,390.19,380.91,1.4,BUY DIP 1.40x,1534236.0,1483064.0,-51173.0,-3.34,1
2022-06-09,2022-07-08,380.91,370.39,1.6,BUY DIP 1.60x,1483064.0,1413669.0,-69395.0,-4.68,29
2022-07-08,2022-07-12,370.39,362.91,1.4,BUY DIP 1.40x,1413669.0,1373744.0,-39924.0,-2.82,4
2022-07-12,2022-07-18,362.91,363.98,1.6,BUY DIP 1.60x,1373744.0,1379829.0,6085.0,0.44,6
2022-07-18,2022-07-22,363.98,376.5,1.4,BUY DIP 1.40x,1379829.0,1446277.0,66448.0,4.82,4
