entry_date,exit_date,entry_price,exit_price,position,action,entry_capital,exit_capital,pnl,return_pct,holding_days
2022-09-29,2022-09-30,347.14,341.78,1.0,HOLD 1.00x,1203359.0,1184573.0,-18786.0,-1.56,1
2022-09-30,2022-10-03,341.78,350.8,1.5,BUY DIP 1.50x,1184573.0,1231374.0,46800.0,3.95,3
2022-10-03,2022-10-04,350.8,361.67,1.8,BUY DIP 1.80x,1231374.0,1299743.0,68369.0,5.55,1
2022-10-04,2022-11-25,361.67,384.98,1.0,HOLD 1.00x,1299743.0,1383448.0,83705.0,6.44,52
2022-11-25,2022-11-29,384.98,378.18,0.85,TRIM 0.85x,1383448.0,1362630.0,-20818.0,-1.5,4
2022-11-29,2022-12-01,378.18,389.81,1.0,HOLD 1.00x,1362630.0,1404456.0,41826.0,3.07,2
2022-12-01,2022-12-02,389.81,389.36,0.85,TRIM 0.85x,1404456.0,1403016.0,-1440.0,-0.1,1
2022-12-02,2022-12-21,389.36,371.27,1.0,HOLD 1.00x,1403016.0,1337626.0,-65390.0,-4.66,19
2022-12-21,2022-12-22,371.27,365.97,1.5,BUY DIP 1.50x,1337626.0,1308806.0,-28820.0,-2.15,1
2022-12-22,2022-12-23,365.97,368.08,1.0,HOLD 1.00x,1308806.0,1316137.0,7331.0,0.56,1
2022-12-23,2022-12-27,368.08,366.63,1.5,BUY DIP 1.50x,1316137.0,1308156.0,-7981.0,-0.61,4
2022-12-27,2023-01-27,366.63,389.97,1.0,HOLD 1.00x,1308156.0,1391371.0,83215.0,6.36,31
2023-01-27,2023-01-31,389.97,390.74,0.85,TRIM 0.85x,1391371.0,1393673.0,2302.0,0.17,4
2023-01-31,2023-02-08,390.74,394.74,1.0,HOLD 1.00x,1393673.0,1407907.0,14234.0,1.02,8
2023-02-08,2023-02-09,394.74,391.32,0.85,TRIM 0.85x,1407907.0,1397469.0,-10437.0,-0.74,1
2023-02-09,2023-03-01,391.32,379.45,1.0,HOLD 1.00x,1397469.0,1354871.0,-42599.0,-3.05,20
2023-03-01,2023-03-03,379.45,388.53,1.5,BUY DIP 1.50x,1354871.0,1403440.0,48569.0,3.58,2
2023-03-03,2023-03-13,388.53,370.43,1.0,HOLD 1.00x,1403440.0,1337857.0,-65583.0,-4.67,10
2023-03-13,2023-03-14,370.43,376.56,1.5,BUY DIP 1.50x,1337857.0,1370824.0,32967.0,2.46,1
2023-03-14,2023-04-03,376.56,396.54,1.0,HOLD 1.00x,1370824.0,1443506.0,72682.0,5.3,20
2023-04-03,2023-04-06,396.54,394.84,0.85,TRIM 0.85x,1443506.0,1438190.0,-5316.0,-0.37,3
2023-04-06,2023-04-10,394.84,395.25,1.0,HOLD 1.00x,1438190.0,1439601.0,1411.0,0.1,4
2023-04-10,2023-04-12,395.25,393.74,0.85,TRIM 0.85x,1439601.0,1434876.0,-4725.0,-0.33,2
2023-04-12,2023-04-13,393.74,398.97,1.0,HOLD 1.00x,1434876.0,1453870.0,18994.0,1.32,1
2023-04-13,2023-04-14,398.97,398.0,0.85,TRIM 0.85x,1453870.0,1450786.0,-3084.0,-0.21,1
2023-04-14,2023-04-17,398.0,399.42,0.7,TRIM 0.70x,1450786.0,1454364.0,3579.0,0.25,3
2023-04-17,2023-04-19,399.42,399.62,0.85,TRIM 0.85x,1454364.0,1454896.0,532.0,0.04,2
2023-04-19,2023-04-20,399.62,397.44,0.7,TRIM 0.70x,1454896.0,1449273.0,-5623.0,-0.39,1
2023-04-20,2023-04-21,397.44,397.75,0.85,TRIM 0.85x,1449273.0,1450165.0,892.0,0.06,1
2023-04-21,2023-06-07,397.75,411.59,1.0,HOLD 1.00x,1450165.0,1500583.0,50418.0,3.48,47
2023-06-07,2023-06-08,411.59,414.08,0.85,TRIM 0.85x,1500583.0,1508230.0,7647.0,0.51,1
2023-06-08,2023-06-14,414.08,421.85,1.0,HOLD 1.00x,1508230.0,1536453.0,28224.0,1.87,6
2023-06-14,2023-06-15,421.85,427.08,0.85,TRIM 0.85x,1536453.0,1552575.0,16121.0,1.05,1
2023-06-15,2023-06-21,427.08,421.25,0.7,TRIM 0.70x,1552575.0,1537643.0,-14931.0,-0.96,6
2023-06-21,2023-06-26,421.25,417.86,0.85,TRIM 0.85x,1537643.0,1527059.0,-10584.0,-0.69,5
2023-06-26,2023-07-03,417.86,429.82,1.0,HOLD 1.00x,1527059.0,1570701.0,43641.0,2.86,7
2023-07-03,2023-07-05,429.82,429.18,0.85,TRIM 0.85x,1570701.0,1568645.0,-2056.0,-0.13,2
2023-07-05,2023-07-17,429.18,436.65,1.0,HOLD 1.00x,1568645.0,1595866.0,27221.0,1.74,12
2023-07-17,2023-07-18,436.65,439.89,0.85,TRIM 0.85x,1595866.0,1605873.0,10007.0,0.63,1
2023-07-18,2023-07-21,439.89,437.94,0.7,TRIM 0.70x,1605873.0,1600831.0,-5042.0,-0.31,3
2023-07-21,2023-07-24,437.94,439.9,0.85,TRIM 0.85x,1600831.0,1606837.0,6006.0,0.38,3
2023-07-24,2023-07-26,439.9,441.17,1.0,HOLD 1.00x,1606837.0,1611399.0,4562.0,0.28,2
2023-07-26,2023-07-27,441.17,438.24,0.85,TRIM 0.85x,1611399.0,1602246.0,-9153.0,-0.57,1
2023-07-27,2023-07-28,438.24,442.54,0.7,TRIM 0.70x,1602246.0,1613154.0,10908.0,0.68,1
2023-07-28,2023-08-03,442.54,434.71,0.85,TRIM 0.85x,1613154.0,1588825.0,-24329.0,-1.51,6
2023-08-03,2023-08-18,434.71,422.76,1.0,HOLD 1.00x,1588825.0,1544911.0,-43913.0,-2.76,15
2023-08-18,2023-08-21,422.76,425.51,1.5,BUY DIP 1.50x,1544911.0,1559848.0,14937.0,0.97,3
