date,level,leverage,action,close,reason
2022-05-25,0,1.0,EMERGENCY_EXIT,377.0476989746094,组合亏损-21.3%，紧急去杠杆
2022-06-09,0,1.0,EMERGENCY_EXIT,380.9095458984375,组合亏损-20.4%，紧急去杠杆
2022-06-10,0,1.0,EMERGENCY_EXIT,369.8648376464844,组合亏损-22.8%，紧急去杠杆
2022-06-13,0,1.0,EMERGENCY_EXIT,355.8217468261719,组合亏损-25.7%，紧急去杠杆
2022-06-14,0,1.0,EMERGENCY_EXIT,354.74957275390625,组合亏损-25.9%，紧急去杠杆
2022-06-15,0,1.0,EMERGENCY_EXIT,359.8070068359375,组合亏损-24.9%，紧急去杠杆
2022-06-16,0,1.0,EMERGENCY_EXIT,347.8987731933594,组合亏损-27.3%，紧急去杠杆
2022-06-17,0,1.0,EMERGENCY_EXIT,348.6487731933594,组合亏损-27.2%，紧急去杠杆
2022-06-21,0,1.0,EMERGENCY_EXIT,357.42547607421875,组合亏损-25.3%，紧急去杠杆
2022-06-22,0,1.0,EMERGENCY_EXIT,356.7775573730469,组合亏损-25.5%，紧急去杠杆
2022-06-23,0,1.0,EMERGENCY_EXIT,360.2748718261719,组合亏损-24.8%，紧急去杠杆
2022-06-24,0,1.0,EMERGENCY_EXIT,371.7294006347656,组合亏损-22.4%，紧急去杠杆
2022-06-27,0,1.0,EMERGENCY_EXIT,370.3094482421875,组合亏损-22.7%，紧急去杠杆
2022-06-28,0,1.0,EMERGENCY_EXIT,362.74298095703125,组合亏损-24.2%，紧急去杠杆
2022-06-29,0,1.0,EMERGENCY_EXIT,362.44757080078125,组合亏损-24.3%，紧急去杠杆
2022-06-30,0,1.0,EMERGENCY_EXIT,359.5029602050781,组合亏损-24.9%，紧急去杠杆
2022-07-01,0,1.0,EMERGENCY_EXIT,363.3052673339844,组合亏损-24.1%，紧急去杠杆
2022-07-05,0,1.0,EMERGENCY_EXIT,363.9914245605469,组合亏损-24.0%，紧急去杠杆
2022-07-06,0,1.0,EMERGENCY_EXIT,365.2206726074219,组合亏损-23.7%，紧急去杠杆
2022-07-07,0,1.0,EMERGENCY_EXIT,370.69061279296875,组合亏损-22.6%，紧急去杠杆
2022-07-08,0,1.0,EMERGENCY_EXIT,370.3857116699219,组合亏损-22.6%，紧急去杠杆
2022-07-11,0,1.0,EMERGENCY_EXIT,366.1545715332031,组合亏损-23.5%，紧急去杠杆
2022-07-12,0,1.0,EMERGENCY_EXIT,362.9145202636719,组合亏损-24.2%，紧急去杠杆
2022-07-13,0,1.0,EMERGENCY_EXIT,361.0085754394531,组合亏损-24.6%，紧急去杠杆
2022-07-14,0,1.0,EMERGENCY_EXIT,360.1319274902344,组合亏损-24.8%，紧急去杠杆
2022-07-15,0,1.0,EMERGENCY_EXIT,367.0122985839844,组合亏损-23.3%，紧急去杠杆
