date,action,reason,position,regime,close
2022-06-15,CIRCUIT_BREAKER,组合回撤 -16.8% 超过限制 15%,0.3,熊市,359.8070373535156
2022-06-16,CIRCUIT_BREAKER,组合回撤 -17.6% 超过限制 15%,0.3,熊市,347.8988342285156
2022-06-17,CIRCUIT_BREAKER,组合回撤 -17.6% 超过限制 15%,0.3,熊市,348.6487731933594
2022-06-21,CIRCUIT_BREAKER,组合回撤 -16.9% 超过限制 15%,0.3,熊市,357.4255065917969
2022-06-22,CIRCUIT_BREAKER,组合回撤 -17.0% 超过限制 15%,0.3,熊市,356.7775573730469
2022-06-23,CIRCUIT_BREAKER,组合回撤 -16.7% 超过限制 15%,0.3,熊市,360.27490234375
2022-06-24,CIRCUIT_BREAKER,组合回撤 -15.9% 超过限制 15%,0.3,下行趋势,371.7294006347656
2022-06-27,CIRCUIT_BREAKER,组合回撤 -16.0% 超过限制 15%,0.3,下行趋势,370.30950927734375
2022-06-28,CIRCUIT_BREAKER,组合回撤 -16.6% 超过限制 15%,0.3,下行趋势,362.7430725097656
2022-06-29,CIRCUIT_BREAKER,组合回撤 -16.6% 超过限制 15%,0.3,下行趋势,362.44757080078125
2022-06-30,CIRCUIT_BREAKER,组合回撤 -16.8% 超过限制 15%,0.3,熊市,359.5030212402344
2022-07-01,CIRCUIT_BREAKER,组合回撤 -16.5% 超过限制 15%,0.3,下行趋势,363.30517578125
2022-07-05,CIRCUIT_BREAKER,组合回撤 -16.5% 超过限制 15%,0.3,下行趋势,363.9913330078125
2022-07-06,CIRCUIT_BREAKER,组合回撤 -16.4% 超过限制 15%,0.3,下行趋势,365.2206726074219
2022-07-07,CIRCUIT_BREAKER,组合回撤 -16.0% 超过限制 15%,0.3,下行趋势,370.6907043457031
2022-07-08,CIRCUIT_BREAKER,组合回撤 -16.0% 超过限制 15%,0.3,下行趋势,370.3857421875
2022-07-11,CIRCUIT_BREAKER,组合回撤 -16.3% 超过限制 15%,0.3,下行趋势,366.15460205078125
2022-07-12,CIRCUIT_BREAKER,组合回撤 -16.5% 超过限制 15%,0.3,下行趋势,362.9145202636719
2022-07-13,CIRCUIT_BREAKER,组合回撤 -16.7% 超过限制 15%,0.3,熊市,361.00860595703125
2022-07-14,CIRCUIT_BREAKER,组合回撤 -16.7% 超过限制 15%,0.3,熊市,360.1318664550781
2022-07-15,CIRCUIT_BREAKER,组合回撤 -16.3% 超过限制 15%,0.3,下行趋势,367.01226806640625
2022-07-18,CIRCUIT_BREAKER,组合回撤 -16.5% 超过限制 15%,0.3,下行趋势,363.9818420410156
2022-07-19,CIRCUIT_BREAKER,组合回撤 -15.8% 超过限制 15%,0.3,下行趋势,373.81640625
2022-07-20,CIRCUIT_BREAKER,组合回撤 -15.6% 超过限制 15%,0.3,下行趋势,376.19879150390625
2022-07-21,CIRCUIT_BREAKER,组合回撤 -15.4% 超过限制 15%,0.3,下行趋势,380.0296630859375
2022-07-22,CIRCUIT_BREAKER,组合回撤 -15.6% 超过限制 15%,0.3,下行趋势,376.50372314453125
2022-07-25,CIRCUIT_BREAKER,组合回撤 -15.6% 超过限制 15%,0.3,下行趋势,376.96112060546875
2022-07-26,CIRCUIT_BREAKER,组合回撤 -15.9% 超过限制 15%,0.3,下行趋势,372.50128173828125
2022-07-27,CIRCUIT_BREAKER,组合回撤 -15.2% 超过限制 15%,0.3,下行趋势,382.1737365722656
2022-08-16,REGIME_CHANGE,下行趋势 → 正常上涨,0.8394969895782128,正常上涨,409.4855651855469
2022-08-17,REGIME_CHANGE,正常上涨 → 下行趋势,0.4608807754308091,下行趋势,406.5790100097656
2022-08-26,CIRCUIT_BREAKER,组合回撤 -15.4% 超过限制 15%,0.3,下行趋势,386.242919921875
2022-08-29,CIRCUIT_BREAKER,组合回撤 -15.6% 超过限制 15%,0.3,下行趋势,383.68902587890625
2022-08-30,CIRCUIT_BREAKER,组合回撤 -15.8% 超过限制 15%,0.3,下行趋势,379.4769287109375
2022-08-31,CIRCUIT_BREAKER,组合回撤 -16.0% 超过限制 15%,0.3,下行趋势,376.5894775390625
2022-09-01,CIRCUIT_BREAKER,组合回撤 -16.0% 超过限制 15%,0.3,下行趋势,377.7711486816406
2022-09-02,CIRCUIT_BREAKER,组合回撤 -16.2% 超过限制 15%,0.3,下行趋势,373.7877197265625
2022-09-06,CIRCUIT_BREAKER,组合回撤 -16.3% 超过限制 15%,0.3,下行趋势,372.37744140625
2022-09-07,CIRCUIT_BREAKER,组合回撤 -15.9% 超过限制 15%,0.3,下行趋势,379.0671691894531
2022-09-08,CIRCUIT_BREAKER,组合回撤 -15.7% 超过限制 15%,0.3,下行趋势,381.54486083984375
2022-09-09,CIRCUIT_BREAKER,组合回撤 -15.3% 超过限制 15%,0.3,下行趋势,387.47222900390625
2022-09-12,CIRCUIT_BREAKER,组合回撤 -15.0% 超过限制 15%,0.3,下行趋势,391.63665771484375
2022-09-13,CIRCUIT_BREAKER,组合回撤 -16.1% 超过限制 15%,0.3,下行趋势,374.6073303222656
2022-09-14,CIRCUIT_BREAKER,组合回撤 -16.0% 超过限制 15%,0.3,下行趋势,376.0367431640625
2022-09-15,CIRCUIT_BREAKER,组合回撤 -16.3% 超过限制 15%,0.3,下行趋势,371.7674560546875
2022-09-16,CIRCUIT_BREAKER,组合回撤 -16.5% 超过限制 15%,0.3,下行趋势,368.93133544921875
2022-09-19,CIRCUIT_BREAKER,组合回撤 -16.3% 超过限制 15%,0.3,下行趋势,371.7923889160156
2022-09-20,CIRCUIT_BREAKER,组合回撤 -16.6% 超过限制 15%,0.3,下行趋势,367.5247802734375
2022-09-21,CIRCUIT_BREAKER,组合回撤 -17.1% 超过限制 15%,0.3,熊市,361.1137390136719
