Ticker,FiscalPeriod,PeriodEndDate,ReportDate,EPS_Actual,EPS_Estimate,SurprisePct,GapPct,DayChange,SurpriseClass,ReactionClass,ExpectationLevel,ExpectationComment,SignalScore
AAPL,2026 Q1,2025-12-31,2026-01-25,2.84,2.7257,0.041934,0.013868730849862917,0.0297129495242703,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0283
PGR,2025 Q4,2025-12-31,2026-01-25,4.67,4.4569,0.047813999999999995,0.0003882929670436951,0.009561714313449493,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0259
SLB,2025 Q4,2025-12-31,2026-01-25,0.78,0.7482,0.042502000000000005,0.01119023397761962,0.01119023397761962,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0246
GOOGL,2025 Q4,2025-12-31,2026-01-25,2.82,2.7063,0.042012999999999995,-0.0003811789101332601,0.016253468728082164,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0242
TSM,2025 Q4,2025-12-31,2026-01-25,19.5,18.5437,0.05157,-0.006211365604562917,-0.006450264281661615,Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0239
ACN,2026 Q1,2025-12-31,2026-01-25,3.94,3.7767,0.043239,0.007756074999110566,-0.0012808197246238077,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0222
NOW,2025 Q4,2025-12-31,2026-01-25,0.92,0.8917,0.031737,0.010818120351588894,0.024265644955300047,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0218
CVX,2025 Q4,2025-12-31,2026-01-25,1.52,1.4628,0.039103,0.009626919385796484,0.0046785028790787015,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0215
IBM,2025 Q4,2025-12-31,2026-01-25,4.52,4.3628,0.036032,0.0024620434961018576,0.013301873888660875,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0209
RTX,2025 Q4,2025-12-31,2026-01-25,1.55,1.4821,0.045813,-0.0034706272648395184,-0.009186954524575162,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0207
JPM,2025 Q4,2025-12-31,2026-01-25,5.23,5.0539,0.034844,0.00030229746070124607,0.011151417439204598,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0197
PANW,2026 Q1,2025-12-31,2026-01-25,0.93,0.9081,0.024116,0.006604506604506592,0.02242202242202238,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0172
AVGO,2025 Q4,2025-12-31,2026-01-25,1.95,1.8996,0.026532,-0.0007811279487580066,0.014997656616153762,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0162
COST,2026 Q1,2025-12-31,2026-01-25,4.5,4.3571,0.032797,0.0032341723874904143,-0.005675057208238028,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0156
DIS,2026 Q1,2025-12-31,2026-01-25,1.63,1.5862,0.027613,0.006307442782483356,0.0029735087403135545,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.015
MSFT,2026 Q2,2025-12-31,2026-01-25,4.14,4.0345,0.026149,-0.001384268698358154,0.009292842579675897,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0148
DHR,2025 Q4,2025-12-31,2026-01-25,2.23,2.1743,0.025617,0.004170035317646135,0.007233734734692214,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0147
TJX,2026 Q3,2025-12-31,2026-01-25,1.28,1.2343,0.037025,-0.003328112764291434,-0.02062124771600102,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.014
MRK,2025 Q4,2025-12-31,2026-01-25,2.09,2.0295,0.02981,-0.003512664078387961,-0.007210205213533011,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0131
EOG,2025 Q4,2025-12-31,2026-01-25,2.27,2.2129,0.025803,0.012461921905289473,-0.006738668882119487,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0128
LOW,2026 Q3,2025-12-31,2026-01-25,3.06,2.9959,0.021396000000000002,0.007588624290824868,0.004264084125320734,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0123
WMT,2026 Q3,2025-12-31,2026-01-25,0.62,0.6068,0.021753,0.0006795209377388796,-0.0007644610549562848,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0108
MCD,2025 Q4,2025-12-31,2026-01-25,3.12,3.0757,0.014403,0.002425222312045271,0.011964430072756632,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0098
NVDA,2026 Q3,2025-12-31,2026-01-25,1.3,1.2746,0.019927999999999998,-0.0027175361006020727,-0.006394202589651989,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0084
CSCO,2026 Q1,2025-12-31,2026-01-25,1.0,1.0013,-0.001298,0.025204450998793343,0.03244402734951068,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,0.0083
BAC,2025 Q4,2025-12-31,2026-01-25,0.98,0.9676,0.012815,0.0015467904098994257,0.005800464037123052,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0077
CRWD,2026 Q3,2025-12-31,2026-01-25,0.96,0.9597,0.000313,0.003314990386527879,0.035006298481734345,Inline,Neutral,Expectation Low,市场可能过于保守，仍有上涨空间,0.0075
TMO,2025 Q4,2025-12-31,2026-01-25,6.57,6.5106,0.009124,-0.001022396881689489,0.001022396881689489,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0047
SYK,2025 Q4,2025-12-31,2026-01-25,4.47,4.4395,0.00687,0.0007041460117169896,0.005464173050923833,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0046
HON,2025 Q4,2025-12-31,2026-01-25,2.59,2.5652,0.009668,-0.00045154881242659764,-0.0013546464372799212,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0045
XOM,2025 Q4,2025-12-31,2026-01-25,1.71,1.7016,0.004937,0.014521745573090375,-0.000963177002296773,Inline,Neutral,Expectation Low,市场可能过于保守，仍有上涨空间,0.0038
VZ,2025 Q4,2025-12-31,2026-01-25,1.09,1.0853,0.004331,0.00404858299595133,0.0025303643724694917,Inline,Neutral,Expectation Low,市场可能过于保守，仍有上涨空间,0.0031
ADBE,2025 Q4,2025-12-31,2026-01-25,5.5,5.5024,-0.00043599999999999997,0.0010960906101570534,0.012123426445677198,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,0.0023
ABBV,2025 Q4,2025-12-31,2026-01-25,2.71,2.7053,0.0017369999999999998,-0.0006841193104076314,0.0068868010581046215,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0022
JNJ,2025 Q4,2025-12-31,2026-01-25,2.46,2.4633,-0.00134,0.0003179794676116181,0.006132461161079417,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,0.0006
QCOM,2026 Q1,2025-12-31,2026-01-25,3.5,3.48,0.0057469999999999995,-0.006546014632267885,-0.0083429598254395,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0005
LIN,2025 Q4,2025-12-31,2026-01-25,4.2,4.2183,-0.004338,0.002347365856899268,0.007662156476293774,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0004
MMM,2025 Q4,2025-12-31,2026-01-25,1.83,1.817,0.007155,-0.004179985247110934,-0.01942463732480942,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,-0.0007
NFLX,2025 Q4,2025-12-31,2026-01-25,0.56,0.5628,-0.004975,0.009289363678587983,-0.004876915931258728,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0025
V,2026 Q1,2025-12-31,2026-01-25,3.17,3.2026,-0.010179,0.005579741247164122,0.007081979275246803,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0031
KLAC,2026 Q2,2025-12-31,2026-01-25,8.85,8.9801,-0.014488000000000001,-0.00022481788495345856,0.019996298205951956,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,-0.0033
AXP,2025 Q4,2025-12-31,2026-01-25,3.53,3.5739,-0.012282999999999999,0.0013823992922115623,0.004313085791700081,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0051
UNP,2025 Q4,2025-12-31,2026-01-25,2.86,2.8994,-0.013589,0.0008708904855213961,0.005399521010232879,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0056
BKNG,2025 Q4,2025-12-31,2026-01-25,48.8,49.4345,-0.012835000000000001,0.0030067863096989566,0.0017220358929097284,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0058
UNH,2025 Q4,2025-12-31,2026-01-25,2.11,2.1222,-0.005749,-0.006484028518497733,-0.012968057036995466,Inline,Neutral,Expectation High,市场反应过度，可能过度悲观,-0.0061
TXN,2025 Q4,2025-12-31,2026-01-25,1.27,1.3062,-0.027714,0.0,0.016967565050954432,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0105
SPGI,2025 Q4,2025-12-31,2026-01-25,4.3,4.4155,-0.026158,-0.0011431569873128571,0.0030359251138472004,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,-0.0126
PM,2025 Q4,2025-12-31,2026-01-25,1.69,1.7501,-0.034340999999999997,0.002774245751936133,0.015836319500635652,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0137
AMZN,2025 Q4,2025-12-31,2026-01-25,1.95,2.011,-0.030333000000000002,0.003428667001170736,-0.0030941629034956057,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0154
