date,WALCL,TGA,RRP,NetLiquidity,NetLiquidity_MoM,NetLiquidity_QoQ,NL_Percentile,NL_Volatility_30D,NL_MA20,NL_Trend
2024-09-11,7115001.0,755958.0,279.215,6358763.785,-6.880580764939048,,64.22018348623854,146740.54326756214,6460089.22595,下降
2024-09-18,7109137.0,771194.0,305.831,6337637.169,-6.734903910851841,,60.550458715596335,144185.2201711231,6453942.94515,下降
2024-09-25,7080059.0,806771.0,416.193,6272871.807,-7.692742275051289,,54.12844036697248,143221.05571080986,6445343.5929,下降
2024-10-02,7046925.0,798277.0,383.398,6248264.602,-7.861949946739322,,52.293577981651374,142465.8610149048,6432690.64435,下降
2024-10-09,7046840.0,802115.0,343.448,6244381.552,-7.773024269355922,,49.54128440366973,140385.92790902744,6419074.960899999,下降
2024-10-16,7039284.0,791792.0,272.028,6247219.972,-7.763948232376117,,51.37614678899083,135606.89984700884,6402751.2786,下降
2024-10-23,7029408.0,829991.0,270.839,6199146.161,-7.538273425328057,,44.95412844036697,136214.9598457819,6383732.352349999,下降
2024-10-30,7013490.0,835237.0,228.946,6178024.054,-7.542120936544217,,42.201834862385326,137454.88856478455,6365383.2471,下降
2024-11-06,6994299.0,842051.0,177.871,6152070.129,-7.771569489449903,,39.44954128440367,138937.1808926902,6343739.08225,下降
2024-11-13,6967108.0,832186.0,238.106,6134683.894,-8.883063743335573,,36.69724770642202,134471.74320822084,6327210.484750001,下降
2024-11-20,6923731.0,751873.0,217.793,6171640.207,-6.61100505670481,,41.284403669724774,134111.29549119814,6312806.44,下降
2024-11-27,6905140.0,775250.0,169.815,6129720.185,-5.120956347148953,,35.77981651376147,140665.86114362057,6294929.7066,下降
2024-12-04,6895827.0,789516.0,162.866,6106148.134,-5.255518014873051,,30.275229357798167,147745.79723205345,6277424.38335,下降
2024-12-11,6897485.0,775067.0,180.12,6122237.88,-5.8309002581311775,,33.94495412844037,151171.97926655598,6261999.2334,下降
2024-12-18,6889332.0,767932.0,131.651,6121268.349,-6.067904951665371,,33.02752293577982,152881.83819162624,6248488.06085,下降
2025-01-08,6853554.0,652636.0,185.144,6200732.856,-5.6735342970467,,45.87155963302752,147576.4107977232,6238322.78665,下降
2025-01-15,6834070.0,641225.0,119.977,6192725.023,-5.8788389961213605,,44.03669724770643,140772.28163183108,6228797.0614,下降
2025-01-22,6831760.0,677282.0,123.981,6154354.019,-5.968705460464941,,40.36697247706422,135897.44153580375,6216357.9288,下降
2025-01-29,6818186.0,784206.0,121.842,6033858.158,-8.369007832675901,,27.522935779816514,132286.09604783307,6199200.9311999995,下降
2025-02-05,6810935.0,805593.0,78.788,6005263.212,-7.114840357429775,,25.688073394495415,136047.09472581674,6180550.5574,下降
2025-02-12,6813513.0,828102.0,67.67,5985343.33,-7.343626210938536,,22.93577981651376,139486.48525442518,6161879.53465,下降
2025-02-19,6782332.0,790062.0,73.196,5992196.804,-7.631240951957718,,23.853211009174313,138948.90014529123,6144607.5164,下降
2025-02-26,6766101.0,681161.0,126.058,6084813.942,-5.753190976352329,,28.440366972477065,134295.7076172133,6135204.62315,下降
2025-03-05,6756764.0,548331.0,139.493,6208293.507,-3.459125102154492,,47.706422018348626,127947.5781884281,6133206.0684,上升
2025-03-12,6759571.0,512581.0,131.055,6246858.945,-2.2628966683490015,,50.45871559633027,123412.16344121017,6133329.93805,上升
2025-03-19,6755982.0,435936.0,193.378,6319852.622,-1.3145723609143678,,58.71559633027523,119568.11800899189,6136961.57055,上升
2025-03-26,6740253.0,360177.0,241.371,6379834.629,-0.053341238176396466,,67.88990825688074,119389.34087792283,6145995.99395,上升
2025-04-02,6723452.0,313326.0,233.488,6409892.512,0.10550830549342916,,72.47706422018348,119792.27644602615,6157589.41685,上升
2025-04-09,6727416.0,306049.0,168.115,6421198.885,0.6931282436901887,,73.39449541284404,122292.82768367697,6171045.85465,上升
2025-04-16,6727113.0,422983.0,54.772,6304075.228,-1.163253546758225,,57.798165137614674,119303.15940928261,6179515.42135,上升
2025-04-23,6726930.0,606632.0,171.78,6120126.22,-3.7528924342642545,,32.11009174311927,116183.11374321897,6176939.722,下降
2025-04-30,6709277.0,595741.0,250.601,6113285.399,-3.539990757082101,,31.19266055045872,113599.0390242933,6176117.9827,下降
2025-05-07,6710889.0,583727.0,154.859,6127007.141,-2.3253251538988495,,34.862385321100916,112753.5472536806,6177160.93305,下降
2025-05-14,6713270.0,575846.0,165.024,6137258.976,-1.7765833086593075,,37.61467889908257,112204.69603573745,6177911.98785,下降
2025-05-21,6688726.0,503055.0,162.802,6185508.198,-0.9428212147149173,,43.11926605504588,111457.82290570655,6181123.9803,上升
2025-05-28,6673244.0,467204.0,173.641,6205866.359,-0.6619522473251593,,46.788990825688074,110759.50190765863,6181380.6554499995,上升
2025-06-04,6672885.0,378947.0,168.882,6293769.118,1.526386933660162,,55.04587155963303,112902.17711327285,6186432.860200001,上升
2025-06-11,6677155.0,332907.0,204.625,6344043.375,2.6872559826391473,,63.30275229357798,117067.87767609283,6195917.328,上升
2025-06-18,6681056.0,337762.0,205.05,6343088.95,3.104951942916978,,62.38532110091744,120629.58330904126,6211378.8675999995,上升
2025-06-25,6662200.0,364375.0,210.879,6297614.121,2.6558862659468607,,55.96330275229357,121877.63003545009,6225996.41305,上升
2025-07-02,6659598.0,359516.0,237.307,6299844.693,2.0773162676363865,,56.88073394495413,123380.09293956221,6241721.4812,上升
2025-07-09,6661912.0,319889.0,227.273,6341795.727,3.4597915663258094,,61.46788990825688,125496.94040202058,6259201.4273500005,上升
2025-07-16,6659273.0,296247.0,197.086,6362828.914,4.203644824316677,,65.13761467889908,127382.70312372023,6273102.17595,上升
2025-07-23,6657715.0,323176.0,189.632,6334349.368,3.4646070956001473,,59.63302752293578,128123.0101665068,6279404.9690000005,上升
2025-07-30,6642578.0,370507.0,155.481,6271915.519,2.4610450222233737,,53.21100917431193,127112.82024182231,6280657.7977,下降
2025-08-06,6640843.0,421043.0,91.966,6219708.034,0.3060150862916,,48.62385321100918,127040.6537564884,6275650.568299999,下降
2025-08-13,6643615.0,504304.0,57.202,6139253.798,-0.8634522734564443,,38.53211009174312,127874.94747015423,6263621.52675,下降
2025-08-20,6618415.0,519534.0,34.999,6098846.001,-0.901930857871247,,29.357798165137616,129292.74039258453,6248069.2012,下降
2025-08-27,6603384.0,589998.0,34.744,6013351.256,-0.33986383940448617,,26.605504587155966,130365.58547970127,6227676.81975,下降
2025-09-03,6602071.0,597513.0,17.923,6004540.077,-0.012041687008079727,,24.770642201834864,130406.76480028109,6212700.0622,下降
2025-09-10,6605962.0,672274.0,29.4,5933658.6,-0.863521558419944,,22.018348623853214,133910.9747680452,6203376.6811999995,下降
2025-09-17,6608597.0,756376.0,13.963,5852207.037,-2.3362010891656904,,21.100917431192663,144118.42244100073,6190322.7631,下降
2025-09-24,6608395.0,804856.0,29.172,5803509.828,-4.6230520223193405,,20.18348623853211,160967.89635761836,6174147.89745,下降
2025-10-01,6587119.0,805139.0,10.179,5781969.821,-6.867002752355534,,15.59633027522936,178482.32354570585,6156383.4397,下降
2025-10-08,6590815.0,807428.0,5.231,5783381.769,-7.419363556639425,,16.51376146788991,192889.5927130895,6136277.118249999,下降
2025-10-15,6596454.0,809593.0,5.484,5786855.516,-8.433695180558287,-16.39734444216603,17.431192660550458,203331.0309879483,6115326.5761,下降
2025-10-22,6589533.0,908001.0,4.005,5681527.995,-10.945528757529177,-18.115491494659963,8.256880733944955,216488.66533795843,6084714.51995,下降
2025-10-29,6587034.0,957990.0,19.504,5629024.496,-12.182232612140254,-18.70585235476412,3.669724770642202,228737.8695242551,6048963.575999999,下降
2025-11-05,6572732.0,940979.0,12.814,5631740.186,-12.294568555479346,-18.11037019420563,4.587155963302752,236702.369154418,6013396.1378,下降
2025-11-12,6580462.0,953816.0,5.886,5626640.114,-10.745987151154601,-17.10850893237936,2.7522935779816518,246823.62639515736,5979847.43745,下降
