Ticker,Date,Price,Price_MA20,Price_MA50,Price_MA200,RSI,RSI_Score,Momentum_5,Momentum_10,Momentum_Score,Volume_Ratio,Volume_Score,Short_Score,Short_Rating,MA_Trend_Score,MA_Trend_Score_Points,MA20_Dist,MA50_Dist,MA_Dist_Score,MACD_Histogram,MACD_Score,Volatility_10,Vol_Score,Mid_Score,Mid_Rating,Price_Position_20D,Trend_Score,Trend_Rating,Total_Score,Max_Score,Score_Pct,Rating,Signal,Return_1D,Return_5D,Return_20D,Rank
SNDK,2026-02-23,666.49,591.2315000000001,423.4836,178.96012499999998,50.144712774085995,10,6.3728932584269815,11.462496864286308,10,0.9328297717185248,5,25,强,5,15,12.72910864864269,57.382718008442346,10.0,-4.116498100480591,3,85.07129996124553,3,30.0,强,78.38327114198101,22,中,77.0,100,77.0,看涨,BUY,2.5416557687277797,6.3728932584269815,40.6601523753245,19
CVX,2026-02-23,184.91,179.14100000000002,165.54240000000001,154.54235,67.8477690288714,5,0.636769347991728,2.239301116885972,10,0.7410237753869949,5,20,中,5,15,3.2203683132281142,11.69948001237144,3.2203683132281142,-0.3234468942032276,3,20.706208909830245,5,26.220368313228114,中,85.92941176470585,30,强,76.22036831322811,100,76.22036831322811,看涨,BUY,0.5328113956396319,0.636769347991728,10.910508637236083,20
RTX,2026-02-23,201.92,200.0645,192.5682,165.332825,51.29809196121361,10,0.9297210836748837,1.6409946642504725,10,0.6814177589738332,5,23,中,5,15,0.9274508970856788,4.856357384033292,0.9274508970856788,0.002424113359117186,10,19.422001107338733,5,30.927450897085677,强,64.76190476190469,22,中,75.92745089708568,100,75.92745089708568,看涨,BUY,-1.4639859457349247,0.9297210836748837,3.0572143112336025,21
JNJ,2026-02-23,245.84,236.685,220.98640000000003,186.06775000000002,75.4468802698145,3,0.9817210926268194,2.4376015667319395,10,0.9328993651313414,5,18,中,5,15,3.86801022456007,11.246664953137374,3.86801022456007,-0.0586553991988481,3,16.37793421036716,5,26.86801022456007,中,95.84569732937685,30,强,74.86801022456007,100,74.86801022456007,看涨,BUY,1.3815002680522825,0.9817210926268194,11.674389025165821,22
AMT,2026-02-23,190.05,180.9325,178.1426,195.91655000000003,68.30907054871221,5,-1.0671525247267,10.965142757050273,5,1.0978293631689309,5,15,弱,3,9,5.039172066931041,6.684195694909597,5.039172066931041,1.1157818905036079,10,32.85759675515785,5,29.03917206693104,中,85.6856455493184,30,强,74.03917206693104,100,74.03917206693104,看涨,BUY,1.4628156531952374,-1.0671525247267,6.321678321678337,23
LRCX,2026-02-23,242.27,233.11599999999999,207.7718,138.93519999999998,52.72976994391668,10,2.861631214707261,4.874247868057657,10,1.131106553392519,5,25,强,5,15,3.9268003912215486,16.603889459493537,3.9268003912215486,-0.3217857995343181,3,31.637933201885605,5,26.926800391221548,中,79.70401691331925,22,中,73.92680039122155,100,73.92680039122155,看涨,BUY,-1.0819859545974087,2.861631214707261,11.163623015508861,24
HON,2026-02-23,243.06,234.91,216.06939999999997,215.44940000000003,74.91961414791,3,0.6959980114342512,1.9632519506669999,10,0.88573880356537,5,18,中,5,15,3.469413818057982,12.491634632206148,3.469413818057982,-0.42982158696595363,3,13.585314424891926,3,24.469413818057983,中,90.13919168203924,30,强,72.46941381805799,100,72.46941381805799,看涨,BUY,-0.3729966799196571,0.6959980114342512,9.753454348415058,25
LLY,2026-02-23,1058.5601,1036.60701,1052.047,868.8012999999999,51.71562117539802,10,1.7846249999999841,0.03591071122956979,10,1.4549545829665844,5,27,强,4,12,2.1177832860690358,0.6190883106933336,2.1177832860690358,0.0984522641052008,10,33.09102218070846,5,29.117783286069034,中,53.96121906660015,15,中,71.11778328606903,100,71.11778328606903,看涨,BUY,4.857764085902194,1.7846249999999841,-0.5383776978079347,26
AVGO,2026-02-23,330.34,330.117,340.0316,316.13065,49.59401033428238,10,1.5899375711166286,-0.7749609515799727,5,0.9538469094723379,5,20,中,3,9,0.06755180738948807,-2.8502056867655976,5.0,1.0909939599546474,10,30.407229477372105,5,29.0,中,61.430575035063086,22,中,71.0,100,71.0,看涨,BUY,-0.6944235683150501,1.5899375711166286,3.2151226370879415,27
MU,2026-02-23,420.97,408.972,348.00440000000003,201.1404,45.63605248146037,10,2.2615750862362116,6.6583901289619885,10,0.9223978073615364,5,25,强,5,15,2.9336971724225736,20.966861338534798,2.9336971724225736,-1.9169849098994902,3,66.1873644359334,3,22.933697172422573,中,62.303081911374605,22,中,69.93369717242257,100,69.93369717242257,看涨,BUY,-1.6815750753205516,2.2615750862362116,5.334667834355078,28
SLB,2026-02-23,51.24,50.196999999999996,45.3284,37.5651,62.70916334661354,5,1.6868426275054693,1.0650887573964374,10,0.7362423383660656,5,20,中,5,15,2.077813415144344,13.041713362924789,2.077813415144344,-0.24963877516668576,3,26.751329325931106,5,25.077813415144345,中,77.3307163886163,22,中,67.07781341514435,100,67.07781341514435,看涨,BUY,0.7669616519174083,1.6868426275054693,4.252288911495428,29
XOM,2026-02-23,150.76,145.9315,132.0982,116.62955000000002,64.89156626506022,5,1.556079488043105,1.1472660181147232,10,0.7886464963119633,5,20,中,5,15,3.3087441710665555,14.12721747911781,3.3087441710665555,-0.6388755834322986,3,35.98662180292796,3,23.308744171066557,中,72.89103690685408,22,中,65.30874417106656,100,65.30874417106656,看涨,BUY,2.3628462791960736,1.556079488043105,11.698896050974295,30
TXN,2026-02-23,219.86,219.2265,197.59220000000002,188.78955000000002,42.24163904790603,10,-2.7856384860275862,-0.713511560693636,3,1.29314642973954,5,20,中,5,15,0.2889705396017482,11.269574406277167,0.2889705396017482,-1.660535609369374,3,24.068323263443368,5,23.28897053960175,中,70.52469135802474,22,中,65.28897053960175,100,65.28897053960175,看涨,BUY,0.059163518864080444,-2.7856384860275862,13.734416222647571,31
PM,2026-02-23,187.22,182.0195,169.8568,166.95285,63.055954088952674,5,-0.15465841821769022,2.4123406815819592,5,1.231905010893204,5,17,弱,5,15,2.8571114633322283,10.222257807753358,2.8571114633322283,-0.47386262326143225,3,20.809275699508724,5,25.857111463332227,中,78.9553809299931,22,中,64.85711146333223,100,64.85711146333223,中性偏强,HOLD,2.0828789531079472,-0.15465841821769022,8.207143682811235,32
KLAC,2026-02-23,1487.66,1470.79649,1390.721194,1079.1138225000002,59.587255072391784,10,1.6070977303927814,3.098513462004915,10,1.237486588744299,5,25,强,5,15,1.146556312491617,6.970398266613323,1.146556312491617,-1.036584854983989,3,23.79091974900783,5,24.14655631249162,中,49.624060150375975,15,中,64.14655631249161,100,64.14655631249161,中性偏强,HOLD,-0.5574866310160353,1.6070977303927814,-1.660519044408304,33
PFE,2026-02-23,27.06,26.822499999999998,25.974800000000002,24.91985,53.649635036496335,10,-1.8854242204496052,-0.5878030859661987,3,0.969691203023052,5,18,中,5,15,0.8854506477770555,4.1778954987141255,0.8854506477770555,-0.06189370767107344,3,19.010216103669997,5,23.885450647777056,中,67.16417910447751,22,中,63.885450647777056,100,63.885450647777056,中性偏强,HOLD,1.538461538461533,-1.8854242204496052,5.4970760233918226,34
CMCSA,2026-02-23,31.63,30.744500000000006,29.6098,31.510975000000002,73.0769230769231,3,0.1900538485904324,0.8288173414089828,10,0.8190663396555304,5,18,中,4,12,2.88018995267444,6.822741119494219,2.88018995267444,-0.019544356386701156,3,18.192715173833047,5,22.880189952674442,中,76.77725118483416,22,中,62.88018995267444,100,62.880189952674435,中性偏强,HOLD,0.9253350350989065,0.1900538485904324,7.95221843003413,35
COP,2026-02-23,109.88,106.72999999999999,99.96259999999998,93.80315,66.05795950774115,5,-1.391007807592215,2.0999814160936436,5,0.6474913185660376,5,13,弱,5,15,2.951372622505393,9.921110495325268,2.951372622505393,-0.04291982811036865,3,26.17078032179997,5,25.951372622505392,中,75.54585152838426,22,中,60.95137262250539,100,60.95137262250538,中性偏强,HOLD,-0.5880756355740591,-1.391007807592215,11.72343670564311,36
