Key,Ticker,Date,Open,High,Low,Close,PrevClose,GapPct,IntradayPct,ReactionScore
AAPL|2025-10-17,AAPL,2025/10/17,248.02,253.38,247.27,252.29,247.45,0.002303496,0.017216354,0.008268639
AAPL|2025-10-20,AAPL,2025/10/20,255.885,264.375,255.63,262.24,252.29,0.014249475,0.024835375,0.018483835
AAPL|2025-10-21,AAPL,2025/10/21,261.88,265.29,261.83,262.77,262.24,-0.001372788,0.003398503,0.002183074
AAPL|2025-10-22,AAPL,2025/10/22,262.65,262.85,255.43,258.45,262.77,-0.000456673,-0.015990862,0.006670349
AAPL|2025-10-23,AAPL,2025/10/23,259.94,260.62,258.0101,259.58,258.45,0.005765138,-0.001384935,0.004013057
AAPL|2025-10-24,AAPL,2025/10/24,261.19,264.13,259.18,262.82,259.58,0.006202327,0.006240668,0.006217663
AAPL|2025-10-27,AAPL,2025/10/27,264.88,269.12,264.6501,268.81,262.82,0.007838064,0.014836907,0.010637601
AAPL|2025-10-28,AAPL,2025/10/28,268.985,269.89,268.15,269,268.81,0.000651017,5.58E-05,0.000412917
AAPL|2025-10-29,AAPL,2025/10/29,269.275,271.41,267.11,269.7,269,0.001022305,0.001578312,0.001244708
AAPL|2025-10-30,AAPL,2025/10/30,271.99,274.14,268.48,271.4,269.7,0.008490916,-0.002169197,0.005962228
AAPL|2025-10-31,AAPL,2025/10/31,276.99,277.32,269.16,270.37,271.4,0.020596905,-0.02389978,0.021918055
AAPL|2025-11-03,AAPL,2025/11/3,270.42,270.85,266.25,269.05,270.37,0.000184932,-0.005066193,0.002137436
AAPL|2025-11-04,AAPL,2025/11/4,268.325,271.486,267.615,270.04,269.05,-0.002694666,0.006391503,0.004173401
AAPL|2025-11-05,AAPL,2025/11/5,268.61,271.7,266.93,270.14,270.04,-0.005295512,0.00569599,0.005455703
AAPL|2025-11-06,AAPL,2025/11/6,267.89,273.4,267.89,269.77,270.14,-0.008329015,0.007017806,0.007804531
AAPL|2025-11-07,AAPL,2025/11/7,269.795,272.29,266.77,268.47,269.77,9.27E-05,-0.004911136,0.002020057
AAPL|2025-11-10,AAPL,2025/11/10,268.96,273.73,267.455,269.43,268.47,0.001825157,0.001747472,0.001794083
AAPL|2025-11-11,AAPL,2025/11/11,269.81,275.91,269.8,275.25,269.43,0.001410385,0.020162336,0.008911166
AAPL|2025-11-12,AAPL,2025/11/12,275,275.73,271.7,273.47,275.25,-0.000908265,-0.005563636,0.002770414
AAPL|2025-11-13,AAPL,2025/11/13,274.11,276.699,272.09,272.95,273.47,0.002340293,-0.004231878,0.003096927
AAPL|2025-11-14,AAPL,2025/11/14,271.05,275.96,269.6,272.41,272.95,-0.006960982,0.005017524,0.006183599
AAPL|2025-11-17,AAPL,2025/11/17,268.815,270.49,265.73,267.46,272.41,-0.013197019,-0.005040641,0.009934468
AAPL|2025-11-18,AAPL,2025/11/18,269.99,270.71,265.32,267.44,267.46,0.009459358,-0.009444794,0.009453533
AAPL|2025-11-19,AAPL,2025/11/19,265.525,272.21,265.5,268.56,267.44,-0.007160485,0.011430185,0.008868365
AAPL|2025-11-20,AAPL,2025/11/20,270.83,275.43,265.92,266.25,268.56,0.008452487,-0.016910977,0.011835883
AAPL|2025-11-21,AAPL,2025/11/21,265.95,273.33,265.67,271.49,266.25,-0.001126761,0.020830983,0.00900845
AAPL|2025-11-24,AAPL,2025/11/24,270.9,277,270.9,275.92,271.49,-0.002173192,0.018530823,0.008716245
AAPL|2025-11-25,AAPL,2025/11/25,275.27,280.38,275.25,276.97,275.92,-0.002355755,0.006175755,0.003883755
AAPL|2025-11-26,AAPL,2025/11/26,276.96,279.53,276.63,277.55,276.97,-3.61E-05,0.002130272,0.000873772
AAPL|2025-11-28,AAPL,2025/11/28,277.26,279,275.9865,278.85,277.55,-0.001044857,0.005734689,0.00292079
AAPL|2025-12-01,AAPL,2025/12/1,278.01,283.42,276.14,283.1,278.85,-0.003012372,0.018308694,0.009130901
